index,answerKey,question,choices,A,B,C,D
817,B,"If someone is found to be committing murder, what did they do to someone?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['misery', 'kill', 'distress', 'tickel', 'go to jail'], dtype=object)}",misery,kill,distress,tickel
1081,C,When a group of people are talking at work they might be doing what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['having a concert.', 'cough', 'sharing of ideas', 'speak',
       'sneeze'], dtype=object)}",having a concert.,cough,sharing of ideas,speak
234,B,"Immediately after peeing, a person's bladder is what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['collapsed', 'empty', 'full', 'filled', 'stretchable'],
      dtype=object)}",collapsed,empty,full,filled
534,B,Most people make stupid assumptions that are based on their prejudices.  What might they do instead to achieve better outcomes?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['set table', 'think', 'read books', 'play games', 'lie'],
      dtype=object)}",set table,think,read books,play games
1144,C,"Bob stands in the grass surrounded by trees and nature, where is Bob?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['rest area', 'desert', 'state park', 'fairgrounds', 'soccer game'],
      dtype=object)}",rest area,desert,state park,fairgrounds
856,B,"The baby was cranky, it needed to eat breakfast but refused to what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['buy food', 'open mouth', 'get out of bed', 'cry', 'wake up'],
      dtype=object)}",buy food,open mouth,get out of bed,cry
810,D,"He used an umbrella while tanning, where was he likely?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['waves', 'seattle', 'suitcase', 'beach', 'jacket closet'],
      dtype=object)}",waves,seattle,suitcase,beach
285,A,While knitting you can do what using a radio?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['listen to music', 'watch television', 'making blankets', 'eat',
       'watching tv'], dtype=object)}",listen to music,watch television,making blankets,eat
394,B,If you're going to a party in a new town what are you hoping to make?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['getting drunk', 'making new friends', 'new contacts',
       'doing drugs', 'set home'], dtype=object)}",getting drunk,making new friends,new contacts,doing drugs
504,B,how can i store cooked steak?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['oven', 'freezer', 'plate', 'tupperware', 'grill'], dtype=object)}",oven,freezer,plate,tupperware
941,C,Where do you keep a pail in your house?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['garage', 'pool', 'utility room', 'hardware store', 'wishing well'],
      dtype=object)}",garage,pool,utility room,hardware store
642,C,Where can fisherman store their rods when on a fishing trip?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['hardware store', 'engine', 'fishing camp', 'lake',
       'sporting goods store'], dtype=object)}",hardware store,engine,fishing camp,lake
611,C,Where are you if your bieifcase is going through an x-ray machine?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['luggage store', 'courtroom', 'airport', 'office building', 'hand'],
      dtype=object)}",luggage store,courtroom,airport,office building
598,A,A statue that shoots liquid is called a what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['water fountain', 'large city', 'museum', 'pool', 'central park'],
      dtype=object)}",water fountain,large city,museum,pool
913,A,"If I want to behave with proper aplomb, what manners should I avoid?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['inappropriate', 'incomplete', 'impolite', 'none', 'incorrect'],
      dtype=object)}",inappropriate,incomplete,impolite,none
975,B,what does a person do to stay healthy?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['fever', 'eat every day', 'excited', 'headache', 'expressive'],
      dtype=object)}",fever,eat every day,excited,headache
784,B,Where can you buy a replacement ax handle?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['bathroom', 'hardware store', 'water fountain', 'grocery store',
       'fridge'], dtype=object)}",bathroom,hardware store,water fountain,grocery store
783,B,There's some new buying products designed to get you money if you have none. The first step is that it will show you how to declare what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['tax return', 'bankruptcy', 'pleasure', 'debt', 'spending money'],
      dtype=object)}",tax return,bankruptcy,pleasure,debt
983,B,"Nature can be good and bad for the person who walks, what are some things?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['seeing bear', 'see beautiful views', 'get wet', 'getting lost',
       'murdered by a landshark'], dtype=object)}",seeing bear,see beautiful views,get wet,getting lost
687,B,"In basic training they build you up only to do what, all in hopes of building you up even stronger the next time?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['destroying', 'tear down', 'raze', 'mutilate', 'demolition'],
      dtype=object)}",destroying,tear down,raze,mutilate
276,C,What could bring a container from one place to another?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['food', 'refrigerator', 'cargo ship', 'port', 'fuel'], dtype=object)}",food,refrigerator,cargo ship,port
1042,D,What is a tactic used to interfere with learning about science?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['repetition', 'sense of wonder', 'accidents', 'intimidation',
       'increased knowledge'], dtype=object)}",repetition,sense of wonder,accidents,intimidation
1187,A,"James decided that competing was the right choice.   Not competing has a defined outcome, but if he competes then what could happen?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['might win', 'perform better', 'enemies', 'winners and losers',
       'lose'], dtype=object)}",might win,perform better,enemies,winners and losers
1207,C,David watched some nesting birds using his binoculars while on vacation.  Where might David be?.,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['sky', 'vaccation', 'forest', 'countryside', 'roof'], dtype=object)}",sky,vaccation,forest,countryside
259,A,"If a person is working a lot, what are they likely trying to earn?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['much money', 'own house', 'creativity', 'new car', 'caregiver'],
      dtype=object)}",much money,own house,creativity,new car
572,B,What might someone do after they finish creating art?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['frustration', 'relax', 'eat', 'enlightenment', 'communication'],
      dtype=object)}",frustration,relax,eat,enlightenment
297,B,Where would you buy food?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['freezer', 'store', 'home', 'hatred', 'kitchen'], dtype=object)}",freezer,store,home,hatred
654,A,"The advertisement came in the form of a pop-up, where did it appear?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['web page', 'store', 'la ville', 'bus', 'email'], dtype=object)}",web page,store,la ville,bus
828,C,What can eating lunch cause that is painful?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['headache', 'bad breath', 'heartburn', 'gain weight', 'farts'],
      dtype=object)}",headache,bad breath,heartburn,gain weight
907,D,In what kind of environment does an anemone live?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['nursery', 'south pacific', 'desert', 'sea water',
       'atlantic ocean'], dtype=object)}",nursery,south pacific,desert,sea water
536,C,Where would you hear a trumpet along with other instruments made from the same material?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['music store', 'bass', 'brass band', 'orchestra', 'marching band'],
      dtype=object)}",music store,bass,brass band,orchestra
190,A,"If you have a home with a courtyard, what's one thing you probably don't have to care for any longer?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['lawn', 'kids', 'asshole', 'spain', 'office complex'], dtype=object)}",lawn,kids,asshole,spain
880,D,You should watch out for snakes if floating down what African body of water?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['wet grass', 'western texas', 'high grass', 'amazon river', 'tree'],
      dtype=object)}",wet grass,western texas,high grass,amazon river
592,A,"The shark actually counted as evidence, so where did the legal team bring it?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['court room', 'shallow waters', 'poker game', 'sea world',
       'pond arena'], dtype=object)}",court room,shallow waters,poker game,sea world
1004,D,What does a self assured person often do?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['acknowledgment', 'focused', 'know what time', 'feel important',
       'trust himself'], dtype=object)}",acknowledgment,focused,know what time,feel important
287,C,"John had a massive debt to 50 million dollars.  Compared to that, Leo's 2000 dollar debt seemed what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['dwarf', 'inconsequential', 'insubstantial', 'lame', 'tiny'],
      dtype=object)}",dwarf,inconsequential,insubstantial,lame
1088,A,Why does having a disability sometimes making academic tasks hard for a person?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['mentally challenged', 'have choice', 'lots of space', 'hungry',
       'acknowledgment'], dtype=object)}",mentally challenged,have choice,lots of space,hungry
903,B,"The family wanted to adopt for enviro-ethical reasons, what did they abhor?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['orphan', 'biological child', 'give away', 'foster child',
       'abandon'], dtype=object)}",orphan,biological child,give away,foster child
1072,A,How might a automobile get off a freeway?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['exit ramp', 'garage', 'driveway', 'repair shop', 'stop light'],
      dtype=object)}",exit ramp,garage,driveway,repair shop
530,C,Where is a good place to put a hamburger?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['resturant', 'fast food restaurant', 'mouth', 'kitchen', 'pizza'],
      dtype=object)}",resturant,fast food restaurant,mouth,kitchen
500,D,Everybody began performing once their director stated what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['fear', 'injury', 'happiness', 'action', 'cut'], dtype=object)}",fear,injury,happiness,action
1120,B,Why does someone want to examine thing closely?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['buy', 'learn about', 'buy', 'complex', 'interesting'],
      dtype=object)}",buy,learn about,buy,complex
225,D,Writers with a great what can amass a large fortune?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['cookie', 'bank', 'real estate', 'imagination', 'bank roll'],
      dtype=object)}",cookie,bank,real estate,imagination
464,A,Where would I not want a fox?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['hen house', 'english hunt', 'mountains', 'outside bedroom window',
       'england'], dtype=object)}",hen house,english hunt,mountains,outside bedroom window
746,A,"Everybody was changing into costumes in the dressing room, it was almost time to take the what stage?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['theater', 'train', 'bathhouse', 'dwelling',
       'actors and actresses'], dtype=object)}",theater,train,bathhouse,dwelling
584,C,What does a gambler do that causes him or her to be unhappy?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['play cards', 'double winnings', 'lose money', 'play poker',
       'to win the prize'], dtype=object)}",play cards,double winnings,lose money,play poker
609,C,Where is that man buying silk from?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['space shuttle', 'theater', 'china', 'indian resteraunt', 'bar'],
      dtype=object)}",space shuttle,theater,china,indian resteraunt
808,D,Where does a maid empty a trash can?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['bus stop', 'corner', 'hockey game', 'motel', 'alley'],
      dtype=object)}",bus stop,corner,hockey game,motel
35,C,"The lock kept the steering wheel from moving, but the thief still took his chances and began to work on the what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['keep cloesd', 'train', 'ignition switch', 'drawer', 'firearm'],
      dtype=object)}",keep cloesd,train,ignition switch,drawer
1038,C,If a person isn't able to pay their bills what must they do?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['know everything', 'acknowledgment', 'make more money',
       'throw a party', 'spare time'], dtype=object)}",know everything,acknowledgment,make more money,throw a party
815,C,"When a person with mental illness receives medication and therapy, what has happened?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['cause irrational behaviour', 'recur', 'effectively treated',
       'managed', 'cause suffering'], dtype=object)}",cause irrational behaviour,recur,effectively treated,managed
849,C,"The detective was finding information from witnesses, why would he do that?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['fun', 'ulcers', 'get answers', 'happiness', 'power'], dtype=object)}",fun,ulcers,get answers,happiness
1158,B,"Marathoners feel fatigued after running twenty six miles, but some that have pushed them self too hard might be prone to what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['excruciating pain', 'passing out', 'death', 'drunk', 'exhaustion'],
      dtype=object)}",excruciating pain,passing out,death,drunk
229,B,What might a very large table be?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['dining room', 'conference', 'kitchen', 'in a lake',
       'demonstration'], dtype=object)}",dining room,conference,kitchen,in a lake
1008,D,"He was a sloppy eater, so where did he leave a mess?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['sailboat', 'desk', 'closet', 'table', 'apartment'], dtype=object)}",sailboat,desk,closet,table
547,C,Where is a shelf likely to be hidden behind a door?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['refrigerator', 'bookstore', 'cupboard', 'school building',
       'wardrobe'], dtype=object)}",refrigerator,bookstore,cupboard,school building
1077,B,What event might one buy tickets for seats?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['park', 'show', 'auditorium', 'movies', 'rest area'], dtype=object)}",park,show,auditorium,movies
840,A,"John needed a straight wire.  Unfortunately, this one had endured some abuse and had become what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['bent', 'bent', 'crooked', 'straightforth', 'curved'], dtype=object)}",bent,bent,crooked,straightforth
942,C,what is printed with ink and distributed daily?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['fountain pen', 'squid', 'newspaper', 'book', 'printer'],
      dtype=object)}",fountain pen,squid,newspaper,book
1130,B,If you own a cat where is the last place you'd want to find it?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['trouble', ""dog's mouth"", 'backyard', 'nature', 'home'],
      dtype=object)}",trouble,dog's mouth,backyard,nature
513,D,Where would a person live if they wanted no neighbors?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['housing estate', 'neighborhood', 'mars', 'woods', 'suburbs'],
      dtype=object)}",housing estate,neighborhood,mars,woods
1146,A,From where does a snowflake form?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['cloud', 'snow storm', 'billow', 'air', 'snowstorm'], dtype=object)}",cloud,snow storm,billow,air
852,B,Where are you likely to find a supermarket?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['buy food for family', 'city or town', 'get supplies',
       'strip mall', 'vermont'], dtype=object)}",buy food for family,city or town,get supplies,strip mall
599,B,If you have a child who gets in trouble for being hyperactive you may need to teach them how to what down?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['park', 'calm', 'being good', 'good behavior', 'safe'],
      dtype=object)}",park,calm,being good,good behavior
529,D,Where would you get some maps that you own?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['bookstore', 'library', 'electrical circuit', 'cabinet',
       'important when traveling'], dtype=object)}",bookstore,library,electrical circuit,cabinet
879,C,Where outside of a city would a squirrel live?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['roof', 'inside home', 'forest', 'yard', 'park'], dtype=object)}",roof,inside home,forest,yard
111,C,What regions of a town would you have found a dime store?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['commercial building', 'old movie', 'small neighborhood', 'past',
       'mall'], dtype=object)}",commercial building,old movie,small neighborhood,past
329,B,What happens at soon as a living being is born?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['expiration', 'growing older', 'sometimes bad', 'death',
       'start reproduction'], dtype=object)}",expiration,growing older,sometimes bad,death
993,B,Where did you meet your best friend since Kindergarten?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array([""friend's house"", 'school', 'fraternity house', 'internet cafe',
       'airplane'], dtype=object)}",friend's house,school,fraternity house,internet cafe
286,A,Where are you likely to set papers while working on them?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['table', 'meeting', 'drawer', 'toilet', 'garage'], dtype=object)}",table,meeting,drawer,toilet
710,D,Joe and Jill didn't want their children to be sedentary.  They might limit the time they children spend doing what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['play sports', 'throw things', 'reading', 'watch tv',
       'play with toys'], dtype=object)}",play sports,throw things,reading,watch tv
343,B,What geographic area is a lizard likely to be?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['ball stopped', 'west texas', 'arid regions', 'garden',
       'warm place'], dtype=object)}",ball stopped,west texas,arid regions,garden
484,C,What type of non-vegetarian soup is one likely to find a potato?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['beef stew', 'own kitchen', 'clam chowder', 'kitchen cabinet',
       'pantry'], dtype=object)}",beef stew,own kitchen,clam chowder,kitchen cabinet
303,D,John and Joe like planning games but Joe  was hit by a ball and fell down. What might have happened to Joe.,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['anger', 'good natured ribbing.', 'enjoying', 'injury',
       'enjoyment'], dtype=object)}",anger,good natured ribbing.,enjoying,injury
1039,C,What is main benefit to exercising?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['losing weight', 'healthy', 'get in shape', 'weight loss', 'sweat'],
      dtype=object)}",losing weight,healthy,get in shape,weight loss
186,B,What could suddenly stop someone when he or she is running?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['mushroom', 'falling down', 'sweating', 'exhaustion',
       'getting tired'], dtype=object)}",mushroom,falling down,sweating,exhaustion
423,B,"The man didn't do great in college, all his best memories were late night with his brothers at the what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['big city', 'fraternity house', 'school', 'building', 'big town'],
      dtype=object)}",big city,fraternity house,school,building
1209,C,"If I did not have a rosebush, where would I get one?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['pot', 'museum', 'garden center', 'formal garden', 'backyard'],
      dtype=object)}",pot,museum,garden center,formal garden
758,D,"Where can you buy a magazine, paper or gum?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['bank', 'rack', 'bed', 'newsstand', 'bus depot'], dtype=object)}",bank,rack,bed,newsstand
741,A,Children's behavior is a direct reflection of their what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['parents', 'old people', 'play ball', 'many adults', 'grown ups'],
      dtype=object)}",parents,old people,play ball,many adults
481,B,"The man started to learn jogging, what was he hoping to do?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['exhaustion', 'getting in shape', 'fitness', 'injure himself',
       'fatigue'], dtype=object)}",exhaustion,getting in shape,fitness,injure himself
328,C,"The player lifted his cornet and walked in rhythm, what was the player a member of?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['museum', 'high school band', 'marching band', 'orchestra', 'band'],
      dtype=object)}",museum,high school band,marching band,orchestra
922,D,"If someone was making breakfast, they'd probably put two slices of bread in the what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['plastic bag', 'pantry', 'supermarket', 'toaster', 'prison'],
      dtype=object)}",plastic bag,pantry,supermarket,toaster
239,B,A creek is a body of water found in what low land?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['forest', 'valley', 'outdoors', 'countryside', 'woods'],
      dtype=object)}",forest,valley,outdoors,countryside
748,C,"A thoroughfare meandered through fields and woods, where was it passing though?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['move about', 'city', 'country', 'town', 'new york city'],
      dtype=object)}",move about,city,country,town
1219,A,"Setting up framing, truss and beam are some of the first steps in what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['new construction', 'warehouse', 'driving', 'ceiling', 'bridge'],
      dtype=object)}",new construction,warehouse,driving,ceiling
1197,B,Where can you find a place to eat in an urban area close to local nightlife?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['city', 'downtown', 'mall', 'shopping center', 'own house'],
      dtype=object)}",city,downtown,mall,shopping center
959,A,where is a good place to obtain new soap?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['supermarket', 'washing', 'cabinet', 'own home', 'sink'],
      dtype=object)}",supermarket,washing,cabinet,own home
1060,A,What was the man encouraged to do after he expressed his anger violently?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['cool off', 'punch', 'illustrate point', 'fight', 'release energy'],
      dtype=object)}",cool off,punch,illustrate point,fight
74,C,What would not be true about a basketball if it had a hole in it but it did not lose its general shape?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['punctured', 'popular in america', 'full of air', 'gone', 'round'],
      dtype=object)}",punctured,popular in america,full of air,gone
1076,C,"John is sitting in a toilet stall in a bathroom, outside he can hear cars going around in circles.  What is the function of the place he is most likely at?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['eating food', 'public place', 'race track', 'at hotel',
       'public building'], dtype=object)}",eating food,public place,race track,at hotel
1165,A,What type of demands to the unions need to be making to go off strike?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['reasonable', 'more money', 'not go to work', 'return to work',
       'union'], dtype=object)}",reasonable,more money,not go to work,return to work
433,C,It's dangerous to let pet birds free so it's better to keep them what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['slavery', 'caught', 'caged in', 'topfree', 'prisoner'],
      dtype=object)}",slavery,caught,caged in,topfree
91,C,You'll find a landing at the top of what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['ocean', 'apartment building', 'stairwell', 'airport', 'room'],
      dtype=object)}",ocean,apartment building,stairwell,airport
348,A,What does everyone have in relation to other people?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['feelings', 'food', 'unique personality', 'different standards',
       'values'], dtype=object)}",feelings,food,unique personality,different standards
707,A,What very large group of western citizens has bees everywhere?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['united states', 'space station', 'trash can', 'field of flowers',
       'bouquet of flowers'], dtype=object)}",united states,space station,trash can,field of flowers
197,A,What do airplanes do as they are arriving at the gate?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['slow down', 'crash', 'speed up', 'land', 'carry people'],
      dtype=object)}",slow down,crash,speed up,land
991,C,The earth is one planet in what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['tree', 'orbit', 'solar system', 'fotograph', 'dreams'],
      dtype=object)}",tree,orbit,solar system,fotograph
512,A,Where is a public monument likely to be erected by a city?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['municipal park', 'office', 'state park', 'cemetary',
       'public gardens'], dtype=object)}",municipal park,office,state park,cemetary
274,D,One of the potential hazards of attending school is what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['cooties', 'get smart', 'boredom', 'colds and flu', 'taking tests'],
      dtype=object)}",cooties,get smart,boredom,colds and flu
886,A,What could people do that involves talking?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['confession', 'state park', 'sing', 'carnival', 'opera'],
      dtype=object)}",confession,state park,sing,carnival
1110,D,Where areas are there likely to be many nightclubs?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['manhattan', 'drink and dance', 'alcohol', 'major city',
       'downtown area'], dtype=object)}",manhattan,drink and dance,alcohol,major city
580,D,Where is known to be a wealth of information?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['park', 'internet', 'meeting', 'library', 'book'], dtype=object)}",park,internet,meeting,library
564,D,In what country are the most fast food restaurants?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['new york', 'blocks of flats', 'center of town', 'america',
       'big cities'], dtype=object)}",new york,blocks of flats,center of town,america
739,A,"If I wanted to eat something that is made from plants and needs to be washed, what would it be?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['roots', 'millions of cells', 'see work', 'leaves to gather light',
       'flowers on'], dtype=object)}",roots,millions of cells,see work,leaves to gather light
775,A,"If someone mean wanted to insult somebody by calling them a fruit, where is probably not the smartest place to do it?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['gay bar', 'market', 'grocery store', 'refrigerator', 'container'],
      dtype=object)}",gay bar,market,grocery store,refrigerator
588,D,What is the sun ultimately responsible for?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['earth warming', 'sun tan', 'light', 'life on earth', 'heat'],
      dtype=object)}",earth warming,sun tan,light,life on earth
507,A,Where would you go to get some pamphlets if you want to own them?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['bookstore', 'drawer', 'health department', 'mail box', 'library'],
      dtype=object)}",bookstore,drawer,health department,mail box
650,D,"He was trying to procreate with many individuals, this led to a what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['moaning', 'die', 'kiss', 'std', 'sanity'], dtype=object)}",moaning,die,kiss,std
308,B,Kramer wrote a self-referential book.  What might that book be about?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['counter', 'coffee table', 'school room', 'backpack',
       'bedside table'], dtype=object)}",counter,coffee table,school room,backpack
846,C,"Sean was a wreck.  He  loved to build houses, but in his current state, he couldn't do what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['stand up', 'produce', 'construct', 'make', 'build'], dtype=object)}",stand up,produce,construct,make
461,B,What is it called when two people in love have children?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['take oath', 'procreate', 'matrimony', 'please parents',
       'live life'], dtype=object)}",take oath,procreate,matrimony,please parents
211,C,"After standing up I had to sit right back down, why would I feel like this?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['train', 'effort', 'balance', 'feet', 'muscles'], dtype=object)}",train,effort,balance,feet
16,D,When drinking booze what can you do to stay busy?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['reach tentative agreement', 'stay in bed', 'stop bicycle',
       'examine thing', 'suicide'], dtype=object)}",reach tentative agreement,stay in bed,stop bicycle,examine thing
969,A,"Sally was standing in queue.  The line was very, very slow.  What was she feeling?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['frustration', 'delays', 'being annoyed', 'moving forward',
       'progress'], dtype=object)}",frustration,delays,being annoyed,moving forward
401,C,What must happen for an animal to and it's offspring to continue livng?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['death', 'flying', 'reproducing', 'food consumed',
       'eventually die'], dtype=object)}",death,flying,reproducing,food consumed
